2022-07-15 03:04:48,878 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:04:48,890 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:04:49,794 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:04:49,798 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:04:50,644 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:04:50,647 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:04:51,562 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:04:51,566 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:04:52,388 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:04:52,391 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:04:53,503 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:06:30,504 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:06:30,516 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:06:31,412 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:06:31,416 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:06:32,202 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:06:32,206 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:06:33,018 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:12:49,782 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:12:49,797 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:12:50,735 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:12:50,739 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:12:51,533 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:12:51,539 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:12:52,371 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:25:27,147 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:25:27,159 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:25:28,029 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:25:28,033 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:25:28,849 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:25:28,853 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:25:29,692 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:25:29,697 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:25:30,516 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:25:30,519 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:25:31,487 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:26:38,748 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:26:38,759 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
